id;description;event_context_status;start;jhi_end
1;rotten and;CANCELLED;2024-01-19T04:50:33;2024-01-19T15:56:08
2;peter;FULLY_BOOKED;2024-01-19T07:46:23;2024-01-18T23:12:40
3;sesame;AVAILABLE;2024-01-19T11:11:01;2024-01-18T23:41:58
4;reconsideration delightfully;CANCELLED;2024-01-19T07:05:04;2024-01-19T10:04:59
5;ha;FULLY_BOOKED;2024-01-18T22:17:00;2024-01-19T08:07:10
6;geez wonderfully;FULLY_BOOKED;2024-01-19T18:37:55;2024-01-19T14:44:45
7;extra-large justly ick;FULLY_BOOKED;2024-01-19T12:09:36;2024-01-18T21:28:52
8;well-lit barring apropos;CANCELLED;2024-01-19T13:05:32;2024-01-19T07:19:38
9;who;CANCELLED;2024-01-19T13:49:37;2024-01-19T04:52:40
10;litter;AVAILABLE;2024-01-19T13:42:46;2024-01-19T16:23:16
